StockName,release_feature,release_ratio,6d_return,10d_return,16d_return,20d_return,30d_return,60d_return,90d_return,basic_eps
688683.SH,0.027447288,0.2,-0.12627551,-0.137153896,-0.186827957,-0.255152807,-0.176548967,-0.073556231,-0.033352838,0.25
000528.SZ,0.00181127,0,0.093896714,0.05019685,-0.015789474,-0.007306889,-0.100342075,-0.137971698,-0.209273183,0.52
000952.SZ,0.002806065,0.02,0.024128686,0.013550136,0.008174387,0.028037383,0.033200531,0.053315995,0.06185567,0.1736
002526.SZ,0.000411562,0,0.045248869,0.004716981,-0.019323671,-0.029268293,-0.019323671,-0.004761905,-0.034313725,0.0377
300967.SZ,0.071339511,0.24,-0.466824645,-0.559193955,-0.601966874,-0.708057395,-0.637566138,-0.725195095,-0.912855377,0.33
000948.SZ,0.008635378,0.04,-0.02605042,-0.162857143,-0.216135458,-0.204142012,0.096893491,0.067938931,-0.011599006,0.0274
688315.SH,0.045952678,0.08,0.080536913,0.046956522,0.377272727,0.365005794,0.278947368,0.494278331,0.333819596,0.22
000567.SZ,0.214671013,0.66,0.023856859,-0.052518757,-0.08388521,-0.052518757,-0.028272251,0.032512315,0.139351446,0.1873
688663.SH,0.034573653,0.22,0.009790832,-0.092292587,-0.159458051,-0.104766634,-0.103670635,-0.0982231,0.077911314,0.29
002373.SZ,0.065118335,0.05,0.032914423,0.012224939,-0.079492318,-0.079492318,-0.060367454,0.07498569,0.008588957,0.32
300254.SZ,0.005911544,0.09,0.025931929,0.025931929,0.185636856,0.185636856,0.146306818,0.106983655,0.126453488,-0.0181
300999.SZ,0.085110518,0,0.047468354,0.084642676,0.080682107,0.080682107,0.085222236,0.212814645,0.102385686,0.55
603228.SH,0.001524117,0,0.052650177,0.037342908,0.043524795,0.043524795,-0.052197802,-0.066428003,0.075517241,0.55
300973.SZ,0.192819049,0.21,0.141666667,0.200930954,0.299319728,0.299319728,0.346031746,0.361675756,0.297312048,0.969
300971.SZ,0.046533904,0.24,-0.217976319,-0.227556279,-0.287990894,-0.287990894,-0.223573939,-0.18699187,-0.290929835,0.71
300968.SZ,0.098600585,0.21,-0.117315574,-0.131811105,-0.245573958,-0.245573958,-0.217755444,-0.313855422,-0.374291115,0.12
603095.SH,0.005151967,0.03,-0.002983802,-0.041150442,-0.04068996,-0.04068996,-0.032017544,0.024865313,-0.009005146,0.83
600629.SH,0.001607779,0.01,0.008356546,-0.002816901,0.013850416,0.013850416,0.033921303,0.020632737,-0.190635452,0.3745
002236.SZ,0.036281603,0.01,0.061248528,0.002919099,-0.019181586,-0.019181586,-0.032829374,-0.125706215,-0.164637116,0.56
688330.SH,0.003742229,0.01,0.010793824,0.005357879,-0.012445812,-0.012445812,0.008898015,0.019634394,0.052107882,2.1
601279.SH,0.022878035,0.1,0.318077803,0.436672968,0.649823737,0.649823737,0.781844802,0.737444934,0.685654008,0.03
002821.SZ,0.150958838,0.04,0.04479952,0.030242482,0.129370629,0.117511095,0.181272337,0.284572142,0.220179739,1.78
688222.SH,0.350558644,0.6,-0.122645291,-0.08776699,-0.143265306,-0.197520308,-0.149835796,-0.011191336,0.093527508,0.05
300898.SZ,0.002696246,0.01,0.138556884,0.018163471,-0.046236559,-0.040363539,0.000770218,-0.043991416,-0.06630137,0.293
300548.SZ,0.000431308,0,0.018889202,0.023294976,-0.076399629,-0.131339402,-0.132443866,-0.000575043,0.086614173,0.46
688386.SH,0.00111522,0.01,0.037558685,0.086452763,0.086859688,0.10616961,0.191640379,0.317008163,0.353414288,0.49
300690.SZ,0.000688425,0,-0.001687154,-0.607115236,-0.822807018,-0.814847162,-0.822007891,-0.936626281,-0.676482453,0.64
605086.SH,0.030520822,0.25,0.317109145,0.435537946,0.311268129,0.301132075,0.32111437,0.269428008,0.288239816,0.43
002978.SZ,0.134174173,0.14,-0.022761434,0.021167283,0.013054289,0.094486692,0.074786325,0.211423841,0.089292543,1.9021
300972.SZ,0.051321757,0.24,-0.193181818,-0.418918919,-0.464592275,-0.414507772,-0.436842105,-0.580775912,-0.683107275,-0.08
603583.SH,0.079452118,0.09,-0.01312295,-0.060680406,-0.059294348,-0.108547009,0.00169335,-0.492520138,-0.29080414,0.44
603773.SH,0.040851624,0.32,0.012830189,0.027509294,0.018018018,-0.004994237,-0.072131148,0.01728024,-0.000382409,0.0263
600738.SH,0.009909763,0.04,0.021069692,0.039745628,0.062111801,0.111764706,0.190348525,0.17373461,-0.006666667,0.093
600876.SH,0.00190682,0,-0.005938242,0.001767826,-0.01864101,0.015116279,0.041855204,-0.034819792,0.385786802,0.3611
000895.SZ,0.294311088,0.04,0.027390438,-0.058823529,-0.066048035,-0.091366303,-0.028165307,-0.247126437,-0.307228916,0.7323
688533.SH,0.054126841,0.2,-0.483633011,-0.684816754,-0.702645503,-0.573594132,-0.65025641,-0.587567834,-0.496744186,0.23
603876.SH,0.124694473,0.45,0.054919908,0.012749004,0.008006405,0.029757244,0.049117421,0.459424084,0.552546046,0.6
000661.SZ,0.491247682,0.05,0.021670103,0.046442926,0.007571479,-0.013867521,0.062476537,-0.198509725,-0.151954358,4.75
002886.SZ,0.018500463,0.11,-0.003614458,-0.047359598,-0.087467363,-0.094612352,-0.851111111,-0.769830028,-0.592734226,0.18
603353.SH,0.030849039,0.11,0.062084257,0.076419214,0.078632106,0.099425165,0.068076669,-0.460635359,-0.466204506,0.35
601727.SH,0.244306569,0.06,-0.036679537,-0.050880626,-0.048828125,-0.074,-0.055009823,-0.278571429,-0.345864662,-0.32
605117.SH,0.104126236,0.25,0.181991672,0.012565445,0.021378165,0.096743295,0.305596465,0.539595743,0.624840866,1.44
